movie_id,imdb_id,title
0,tt0114709,Toy Story
1,tt0113497,Jumanji
2,tt0113228,Grumpier Old Men
3,tt0114885,Waiting to Exhale
4,tt0113041,Father of the Bride Part II
5,tt0113277,Heat
6,tt0114319,Sabrina
7,tt0112302,Tom and Huck
8,tt0114576,Sudden Death
9,tt0113189,GoldenEye
10,tt0112346,The American President
11,tt0112896,Dracula: Dead and Loving It
12,tt0112453,Balto
13,tt0113987,Nixon
14,tt0112760,Cutthroat Island
15,tt0112641,Casino
16,tt0114388,Sense and Sensibility
17,tt0113101,Four Rooms
18,tt0112281,Ace Ventura: When Nature Calls
19,tt0113845,Money Train
20,tt0113161,Get Shorty
21,tt0112722,Copycat
22,tt0112401,Assassins
23,tt0114168,Powder
24,tt0113627,Leaving Las Vegas
25,tt0114057,Othello
26,tt0114011,Now and Then
27,tt0114117,Persuasion
28,tt0112682,The City of Lost Children
29,tt0115012,Shanghai Triad
30,tt0112792,Dangerous Minds
31,tt0114746,Twelve Monkeys
32,tt0114952,Wings of Courage
33,tt0112431,Babe
34,tt0112637,Carrington
35,tt0112818,Dead Man Walking
36,tt0112286,Across the Sea of Time
37,tt0113442,It Takes Two
38,tt0112697,Clueless
39,tt0112749,"Cry, the Beloved Country"
40,tt0114279,Richard III
41,tt0112819,Dead Presidents
42,tt0114272,Restoration
43,tt0113855,Mortal Kombat
44,tt0114681,To Die For
45,tt0113347,How To Make An American Quilt
46,tt0114369,Se7en
47,tt0114148,Pocahontas
48,tt0114916,When Night Is Falling
49,tt0114814,The Usual Suspects
50,tt0109950,Guardian Angel
51,tt0113819,Mighty Aphrodite
52,tt0110299,Lamerica
53,tt0112499,The Big Green
54,tt0113158,Georgia
56,tt0113321,Home for the Holidays
57,tt0112714,The Confessional
58,tt0113419,The Indian in the Cupboard
59,tt0116260,Eye for an Eye
60,tt0113862,Mr. Holland's Opus
61,tt0116126,Don't Be a Menace to South Central While Drinking Your Juice in the Hood
62,tt0118002,Two If by Sea
63,tt0115683,Bio-Dome
64,tt0116839,Lawnmower Man 2: Beyond Cyberspace
65,tt0114753,Two Bits
66,tt0113149,French Twist
67,tt0113118,Friday
68,tt0116367,From Dusk Till Dawn
69,tt0113010,Fair Game
70,tt0113537,Kicking and Screaming
71,tt0113828,Les Miserables
72,tt0115644,Bed of Roses
73,tt0115676,Big Bully
74,tt0114367,Screamers
75,tt0113973,Nico Icon
76,tt0112744,The Crossing Guard
77,tt0116731,The Juror
78,tt0112445,The White Balloon
79,tt0114660,Things to Do in Denver When You're Dead
80,tt0112379,Antonia's Line
81,tt0114039,Once Upon a Time... When We Were Colored
83,tt0112365,Angels and Insects
84,tt0118158,White Squall
85,tt0116151,Dunston Checks In
86,tt0115697,Black Sheep
87,tt0113972,Nick of Time
88,tt0113490,The Journey of August King
89,tt0117002,Mary Reilly
90,tt0114825,Vampire in Brooklyn
91,tt0115639,Beautiful Girls
92,tt0115759,Broken Arrow
93,tt0113403,A Midwinter's Tale
94,tt0113247,La Haine
95,tt0111173,Shopping
96,tt0113283,Heidi Fleiss: Hollywood Madam
97,tt0115907,City Hall
98,tt0115734,Bottle Rocket
99,tt0117102,Mr. Wrong
100,tt0118040,Unforgettable
101,tt0116483,Happy Gilmore
102,tt0112579,The Bridges of Madison County
103,tt0110251,Nobody Loves Me
104,tt0117110,Muppet Treasure Island
105,tt0112646,Catwalk
106,tt0113276,Headless Body in Topless Bar
107,tt0112573,Braveheart
108,tt0075314,Taxi Driver
109,tt0113326,Rumble in the Bronx
110,tt0115645,Before and After
111,tt0113774,Margaret's Museum
112,tt0112556,Happiness Is in the Field
113,tt0112373,Anne Frank Remembered
114,tt0115033,The Young Poisoner's Handbook
115,tt0116606,If Lucy Fell
116,tt0114536,Steal Big Steal Little
117,tt0117427,Race the Sun
118,tt0106473,The Boys of St. Vincent
119,tt0103859,Boomerang
120,tt0109424,Chungking Express
121,tt0114808,The Star Maker
122,tt0116324,Flirting with Disaster
123,tt0110647,The Neverending Story III: Escape from Fantasia
124,tt0111055,The Silences of the Palace
126,tt0114131,Pie in the Sky
127,tt0112364,Angela
128,tt0113107,Frankie Starlight
129,tt0113451,Jade
130,tt0114015,Nueba Yol
131,tt0114500,Sonic Outlaws
132,tt0116130,Down Periscope
133,tt0113125,From the Journals of Jean Seberg
134,tt0113756,Man of the Year
135,tt0113952,The Neon Bible
137,tt0118055,Up Close & Personal
138,tt0115685,The Birdcage
139,tt0113200,Virgin Mary
140,tt0112585,The Brothers McMullen
141,tt0112442,Bad Boys
142,tt0112342,The Amazing Panda Adventure
143,tt0112461,The Basketball Diaries
144,tt0112427,An Awfully Big Adventure
145,tt0109093,Amateur
146,tt0112384,Apollo 13
147,tt0114287,Rob Roy
148,tt0112288,The Addiction
149,tt0112462,Batman Forever
150,tt0112495,Beyond Rangoon
151,tt0112541,Blue in the Face
152,tt0109370,Canadian Bacon
153,tt0112642,Casper
154,tt0112688,Clockers
155,tt0112715,Congo
156,tt0112740,Crimson Tide
157,tt0109508,Crumb
158,tt0112851,Desperado
159,tt0112857,Devil in a Blue Dress
160,tt0112864,Die Hard: With a Vengeance
161,tt0112887,The Doom Generation
162,tt0113044,Feast of July
163,tt0113071,First Knight
164,tt0113114,Free Willy 2 - The Adventure Home
165,tt0113243,Hackers
166,tt0113464,Jeffrey
167,tt0113481,Johnny Mnemonic
168,tt0113492,Judge Dredd
169,tt0113500,Jury Duty
170,tt0113540,Kids
171,tt0113677,Living in Oblivion
172,tt0113690,Lord of Illusions
173,tt0107447,Love & Human Remains
174,tt0113729,Mad Love
175,tt0113749,Mallrats
176,tt0113820,Mighty Morphin Power Rangers: The Movie
177,tt0113851,Moonlight and Valentino
178,tt0110604,Mute Witness
179,tt0110620,Nadja
180,tt0113957,The Net
181,tt0113986,Nine Months
182,tt0114095,Party Girl
183,tt0114194,The Prophecy
184,tt0114241,Reckless
185,tt0114323,Safe
186,tt0114345,The Scarlet Letter
188,tt0114436,Showgirls
189,tt0114478,Smoke
190,tt0114496,Something to Talk About
191,tt0114508,Species
192,tt0114534,The Stars Fell on Henrietta
193,tt0114558,Strange Days
194,tt0114666,The Tie That Binds
195,tt0114663,Three Wishes
196,tt0114702,Total Eclipse
197,tt0114682,"To Wong Foo, Thanks for Everything! Julie Newmar"
198,tt0114781,Under Siege 2: Dark Territory
199,tt0114798,Unstrung Heroes
200,tt0114805,Unzipped
201,tt0114887,A Walk in the Clouds
202,tt0114898,Waterworld
203,tt0114928,White Man's Burden
204,tt0114938,Wild Bill
205,tt0109340,The Browning Version
206,tt0112602,Bushwhacked
207,tt0111579,Burnt by the Sun
208,tt0110882,Before the Rain
209,tt0112471,Before Sunrise
210,tt0112508,Billy Madison
211,tt0112438,The Babysitter
212,tt0112571,Boys on the Side
213,tt0112757,The Cure
214,tt0112643,Castle Freak
215,tt0112679,Circle of Friends
216,tt0109445,Clerks
217,tt0112883,Don Juan DeMarco
218,tt0109635,Disclosure
219,tt0112899,Dream Man
220,tt0109676,Drop Zone
221,tt0112854,Destiny Turns on the Radio
222,tt0109579,Death and the Maiden
223,tt0109642,Dolores Claiborne
224,tt0109686,Dumb and Dumber
225,tt0111797,Eat Drink Man Woman
226,tt0109759,Exotica
227,tt0109758,Exit to Eden
228,tt0109707,Ed Wood
229,tt0113117,French Kiss
230,tt0113097,Forget Paris
231,tt0113028,Far from Home: The Adventures of Yellow Dog
232,tt0113198,A Goofy Movie
233,tt0113303,Hideaway
234,tt0113089,Fluke
235,tt0109771,Farinelli
236,tt0113199,Gordy
238,tt0109906,The Glass Shield
239,tt0110057,Hoop Dreams
240,tt0110005,Heavenly Creatures
241,tt0110066,Houseguest
242,tt0110116,Immortal Beloved
243,tt0110006,Heavyweights
244,tt0113360,The Hunted
245,tt0110099,I.Q.
246,tt0110148,Interview with the Vampire
247,tt0113463,Jefferson in Paris
248,tt0110189,The Jerky Boys
249,tt0110216,Junior
250,tt0113501,Just Cause
251,tt0113538,A Kid in King Arthur's Court
252,tt0113552,Kiss of Death
253,tt0076759,Star Wars
254,tt0110367,Little Women
